name,firm_name,website,geographies
IP Group,IP Group,https://www.ipgroupanz.com,Melbourne
January Capital,January Capital,https://www.january.capital/,Singapore
Jekara Group,Jekara Group,jekaragroup.com,Sydney
Jelix Ventures,Jelix Ventures,https://jelix.vc/,Sydney
Jonathan Lay,Jonathan Lay,macquarie.com,Sydney
Jungle Ventures,Jungle Ventures,https://www.jungle.vc,Singapore
Kadima Group,Kadima Group,https://www.kadimagroup.com.au/,Sydney
Karst Peak Capital,Karst Peak Capital,www.karstpeak.com,Sydney
Kestrel,Kestrel,https://kestrelcapital.com.au,Sydney
Kilara Capital,Kilara Capital,https://www.kilaracapital.com/,Melbourne
KIN Group,KIN Group,https://www.kingroup.com.au/,Melbourne
King River Capital,King River Capital,https://www.kingriver.co,Sydney
KTM Ventures,KTM Ventures,https://www.ktmcapital.com.au,Sydney
Landran Ventures,Landran Ventures,www.landran.vc,Brisbane
Light Warrior Group,Light Warrior Group,https://lightwarrior.com/,Melbourne
little fish Capital,little fish Capital,https://littlefishgroup.com,Melbourne
Livingbridge,Livingbridge,https://www.livingbridge.com/,Melbourne
M. H. Carnegie,M. H. Carnegie,https://www.mhcarnegie.com/,Sydney
Macdoch Ventures,Macdoch Ventures,https://macdochventures.com/,Sydney
Macquarie Group,Macquarie Group,https://www.macquarie.com,Sydney
Mai Capital,Mai Capital,https://www.maicapital.com/,Melbourne
Main Sequence Ventures,Main Sequence Ventures,https://www.mseq.vc,Sydney
Mandalay Venture Partners,Mandalay Venture Partners,www.mandalay.vc,Brisbane
Marbruck Investments,Marbruck Investments,https://marbruck.com/,Sydney
MassMutual Ventures,MassMutual Ventures,https://massmutualventures.com/,Singapore
MediaCap,MediaCap,http://mediacap.com.au,Sydney
Melt Ventures,Melt Ventures,www.melt.ventures,Sydney
Meraki Venture Capital,Meraki Venture Capital,www.merakiventurecapital.com,Sydney
Metagrove Ventures,Metagrove Ventures,metagrove.vc,California
